先锋乒羽,rtp://239.69.1.143:10494
风云足球HD,rtp://239.69.1.81:10126
汽摩,rtp://239.69.1.84:10144
老故事,rtp://239.69.1.85:10150
兵器科技HD,rtp://239.69.1.79:10114
茶HD,rtp://239.69.1.144:10500
世界地理HD,rtp://239.69.1.91:10186
高尔夫网球HD,rtp://239.69.1.83:10138
第一剧场HD,rtp://239.69.1.74:10084
央视台球HD,rtp://239.69.1.98:10224
电视指南,rtp://239.69.1.87:10162
网络棋牌,rtp://239.69.1.186:10758
新动漫,rtp://239.69.1.187:10764
女性时尚,rtp://239.69.1.86:10156
书画,rtp://239.69.1.189:10776
IPTV相声小品,rtp://239.254.104.214:9364
热播剧场,rtp://239.254.104.215:9370
经典电影,rtp://239.254.104.216:9376
魅力时尚,rtp://239.254.104.217:9382
少儿动画,rtp://239.254.104.220:9400
IPTV3十,rtp://239.254.104.219:9394
IPTV5十,rtp://239.254.104.221:9406
IPTV6十,rtp://239.254.104.218:9388
IPTV8十,rtp://239.254.104.222:9412
IPTV足球频道,rtp://239.69.1.116:10334
爱生活,rtp://239.69.1.176:10692
十堰新闻,rtp://239.69.1.62:10012
十堰公共,rtp://239.69.1.63:10018
十堰经济,rtp://239.69.1.64:10024
直播室201,rtp://239.254.104.101:8580
直播室202,rtp://239.254.104.102:8586
直播室203,rtp://239.254.104.103:8592
直播室204,rtp://239.254.104.104:8598
直播室205,rtp://239.254.104.107:8616
直播室206,rtp://239.254.104.108:8622
直播室207,rtp://239.254.104.110:8634
直播室101,rtp://239.69.1.24:9784
直播室102,rtp://239.69.1.25:9790
直播室103,rtp://239.69.1.26:9796
直播室104,rtp://239.69.1.27:9802
直播室105,rtp://239.69.1.28:9808
直播室106,rtp://239.69.1.29:9814
直播室107,rtp://239.69.1.30:9820
体彩频道,rtp://239.254.104.203:9298
体彩频道1,rtp://239.254.104.201:9286
体彩频道2,rtp://239.254.104.105:9604
体彩频道3,rtp://239.69.1.57:9982
iTV导视HD,rtp://239.69.1.65:10030
九屏导视HD,rtp://239.69.1.156:10572
芒果1,rtp://239.69.1.12:9712
芒果2,rtp://239.69.1.13:9718
测试频道1HD,rtp://239.69.1.177:10698
中甲联赛,rtp://239.69.1.190：10782
东风新闻台,rtp://239.69.1.119:10352
郧阳新闻,rtp://239.69.1.139:10470
竹溪新闻,rtp://239.69.1.140:10476
房县新闻综合,rtp://239.69.1.192:10794
应城新闻党建,rtp://239.69.1.37
