大陆频道,#genre#
亚洲美食,http://xn--94q.l5.ca/daili/Smartv.php?id=afc_twn
八大戏剧,http://xn--94q.l5.ca/daili/Smartv.php?id=badadrama
八大第1,http://xn--94q.l5.ca/daili/Smartv.php?id=badafirst
八大综合,http://xn--94q.l5.ca/daili/Smartv.php?id=badazhonghe
公视,http://xn--94q.l5.ca/daili/Smartv.php?id=ctv_taiwan
民视,http://xn--94q.l5.ca/daili/Smartv.php?id=ftvhd_taiwan
民视第一,http://xn--94q.l5.ca/daili/Smartv.php?id=lunghuajingdian_twn
民视台湾,http://xn--94q.l5.ca/daili/Smartv.php?id=ftvtaiwan_twn
民视新闻,http://xn--94q.l5.ca/daili/Smartv.php?id=ftvnew_taiwan
台视,http://xn--94q.l5.ca/daili/Smartv.php?id=ttv_taiwan	
台视新闻,http://xn--94q.l5.ca/daili/Smartv.php?id=ttvnews_twn
中视,http://xn--94q.l5.ca/daili/Smartv.php?id=zhongshihd_twn
中视新闻,http://xn--94q.l5.ca/daili/Smartv.php?id=zhongshinews_twn
中视经典,http://xn--94q.l5.ca/daili/Smartv.php?id=zhongshi_twn
华视,http://xn--94q.l5.ca/daili/Smartv.php?id=ctshd_twn
华艺综合,http://xn--94q.l5.ca/daili/Smartv.php?id=weishichinese_twn
大爱1,http://xn--94q.l5.ca/daili/Smartv.php?id=daai_twn
寰宇新闻,http://xn--94q.l5.ca/daili/Smartv.php?id=huanyuxinwen_twn
寰宇财经,http://xn--94q.l5.ca/daili/Smartv.php?id=huanyutaiwan_twn
年代新闻,http://xn--94q.l5.ca/daili/Smartv.php?id=niandainews_twn
爱尔达影剧,http://xn--94q.l5.ca/daili/Smartv.php?id=eltayingju_twn
爱尔达体育1,http://xn--94q.l5.ca/daili/Smartv.php?id=eltasport_twn
爱尔达体育2,http://xn--94q.l5.ca/daili/Smartv.php?id=eltasport2_twn
爱尔达体育3,http://xn--94q.l5.ca/daili/Smartv.php?id=eltasport3_twn
ELEVEN1,http://xn--94q.l5.ca/daili/Smartv.php?id=golfchannel_twn
博斯网球,http://xn--94q.l5.ca/daili/Smartv.php?id=bositennis_twn
博斯运动1,http://xn--94q.l5.ca/daili/Smartv.php?id=bosisport1_twn
博斯运动2,http://xn--94q.l5.ca/daili/Smartv.php?id=bosisport2_twn
博斯高球1,http://xn--94q.l5.ca/daili/Smartv.php?id=bosigolf1_twn
博斯高球2,http://xn--94q.l5.ca/daili/Smartv.php?id=bosigolf2_twn
探索亚洲,http://xn--94q.l5.ca/daili/Smartv.php?id=discoverytwn_twn
探索动力,http://xn--94q.l5.ca/daili/Smartv.php?id=discoveryturbo_twn
国家地理,http://xn--94q.l5.ca/daili/Smartv.php?id=natgeohd_twn
野生动物,http://xn--94q.l5.ca/daili/Smartv.php?id=natgeowild_twn
动物星球,http://xn--94q.l5.ca/daili/Smartv.php?id=animalplanet_twn
时尚,http://xn--94q.l5.ca/daili/Smartv.php?id=fashiontv_twn
Discovery Asia,http://xn--94q.l5.ca/daili/Smartv.php?id=discoverytwn_twn
Discovery,http://xn--94q.l5.ca/daili/Smartv.php?id=discoveryhd_twn
东森戏剧,http://xn--94q.l5.ca/daili/Smartv.php?id=ettvdrama
东森洋片,http://xn--94q.l5.ca/daili/Smartv.php?id=ettvwestern
东森综合,http://xn--94q.l5.ca/daili/Smartv.php?id=ettvzhonghe
东森财经新闻,http://xn--94q.l5.ca/daili/Smartv.php?id=ettvcaijing_twn
东森电影,http://xn--94q.l5.ca/daili/Smartv.php?id=ettvmovie
